DATE,vwretd,ewretd
19280718,0.009027,0.006534
19280719,-0.001525,0.002134
19280720,0.001170,0.001562
19280721,-0.002253,0.000107
19280723,0.006318,0.004567
19280724,0.000533,0.003227
19280725,0.004292,0.000727
19280726,0.002482,0.003031
19280727,0.007981,0.005094
19280728,0.002491,0.002099
19280730,-0.001258,-0.000575
19280731,-0.000816,-0.000005
19280801,0.002616,0.002416
19280802,-0.004354,-0.004315
19280803,0.002529,0.002452
19280804,0.002205,0.004097
19280806,0.007176,0.005064
19280807,-0.003511,-0.003042
19280808,-0.011027,-0.008653
19280809,0.001235,-0.001113
19280810,-0.001932,-0.002316
19280811,0.001330,0.003356
19280813,-0.000379,0.000457
19280814,-0.006299,-0.004419
19280815,0.013890,0.009429
19280816,0.008045,0.008035
19280817,0.002873,0.001127
19280818,0.003037,0.005094
19280820,0.002294,0.002345
19280821,0.009954,0.005745
19280822,0.001421,0.002744
19280823,0.000223,0.000280
19280824,0.013724,0.012452
19280825,0.002865,0.002597
19280827,-0.002901,-0.001181
19280828,0.006403,0.005221
19280829,0.002643,0.002587
19280830,0.003041,0.005125
19280831,0.011656,0.007165
19280901,0.002696,0.005991
19280904,0.004191,0.004729
19280905,0.004253,0.004058
19280906,-0.004042,-0.001828
19280907,0.006697,0.006781
19280908,-0.002959,-0.000557
19280910,-0.003392,-0.000330
19280911,0.006397,0.005139
19280912,0.003373,0.002883
19280913,-0.000683,-0.000109
19280914,0.001409,0.004778
19280915,0.005912,0.005721
19280917,0.005463,0.009093
19280918,-0.006810,-0.003385
19280919,-0.000386,0.000801
19280920,0.001632,0.004497
19280921,0.006726,0.005665
19280922,-0.002416,-0.000459
19280924,0.006423,0.004845
19280925,-0.000706,0.001081
19280926,-0.001149,-0.001473
19280927,-0.012055,-0.011934
19280928,0.000283,-0.002899
19280929,0.010406,0.009670
19281001,-0.000987,0.001340
19281002,-0.004182,-0.004331
19281003,-0.002533,-0.001271
19281004,0.002753,0.004674
19281005,-0.002406,-0.001183
19281006,-0.000284,0.000471
19281008,-0.003331,-0.003709
19281009,0.001346,-0.000175
19281010,0.009460,0.009979
19281011,0.003179,0.002943
19281013,0.005708,0.006504
19281015,0.003912,0.003640
19281016,0.003205,0.002885
19281017,0.003827,0.005268
19281018,0.003039,0.000876
19281019,0.005258,0.003256
19281020,-0.004473,-0.002646
19281022,-0.001018,0.000410
19281023,0.006643,0.005377
19281024,0.002229,0.003648
19281025,-0.002593,-0.000607
19281026,-0.011296,-0.012044
19281027,0.008681,0.007319
19281029,0.007181,0.008687
19281030,-0.010111,-0.011339
19281031,-0.004229,-0.006710
19281101,0.012843,0.010264
19281102,-0.001061,-0.000693
19281103,0.000509,-0.000004
19281105,0.011436,0.011061
19281107,0.011941,0.011481
19281108,-0.002479,-0.001326
19281109,0.007456,0.005686
19281110,0.008294,0.008877
19281112,0.003801,0.001670
19281113,0.000704,-0.001432
19281114,0.001214,0.002038
19281115,0.003510,0.001927
19281116,0.017687,0.014005
19281117,0.001018,-0.000151
19281119,0.001950,0.004170
19281120,0.011386,0.008689
19281121,-0.014958,-0.010614
19281122,0.014060,0.014990
19281123,0.003474,0.005486
19281126,0.005241,0.009767
19281127,0.003063,0.005254
19281128,0.010817,0.010221
19281130,0.003530,0.000656
19281201,-0.005813,-0.001872
19281203,-0.007217,-0.006236
19281204,0.002120,0.002342
19281205,-0.006547,-0.002952
19281206,-0.035292,-0.032999
19281207,-0.023348,-0.022167
19281208,-0.018891,-0.023906
19281210,0.016627,0.009014
19281211,0.022833,0.028237
19281212,-0.007558,-0.003834
19281213,-0.002961,-0.000936
19281214,0.002868,0.002051
19281215,-0.003655,-0.001775
19281217,-0.003704,-0.007934
19281218,0.010825,0.007866
19281219,0.012059,0.011768
19281220,0.003437,0.002575
19281221,0.010530,0.006362
19281222,0.001034,0.001570
19281224,0.008600,0.007587
19281226,-0.003042,-0.002001
19281227,0.006603,0.003210
19281228,0.013440,0.010294
19281229,0.002108,0.003160
19281231,0.013713,0.014249
19290102,0.015499,0.017334
19290103,0.001776,0.001598
19290104,0.000488,0.001034
19290105,-0.008781,-0.003975
19290107,-0.012838,-0.013876
19290108,-0.002283,-0.001446
19290109,0.012226,0.013512
19290110,0.002821,0.004410
19290111,-0.000647,0.001779
19290112,-0.002531,0.000235
19290114,0.003086,0.005405
19290115,-0.010059,-0.009803
19290116,0.009653,0.007587
19290117,0.007179,0.005599
19290118,0.002064,0.002268
19290119,0.002016,0.002540
19290121,0.001782,0.000774
19290122,0.006747,0.001040
19290123,0.005664,-0.000351
19290124,-0.007940,-0.007504
19290125,0.011631,0.005528
19290126,0.003195,0.001169
19290128,-0.003334,-0.001315
19290129,-0.001754,-0.003888
19290130,0.003056,-0.000413
19290131,0.013864,0.010995
19290201,0.006132,0.006975
19290202,0.000114,0.003265
19290204,-0.004495,0.002682
19290205,0.002352,0.002998
19290206,-0.008406,-0.006919
19290207,-0.029683,-0.027973
19290208,-0.009921,-0.011594
19290211,0.022852,0.019445
19290213,0.000893,0.003549
19290214,-0.005903,-0.007434
19290215,-0.016381,-0.013923
19290216,-0.013859,-0.016291
19290218,0.011507,0.008298
19290219,0.002224,0.008962
19290220,0.008836,0.009436
19290221,0.007876,0.005875
19290225,0.002598,0.003151
19290226,0.003955,0.004011
19290227,0.010568,0.009032
19290228,0.010269,0.008284
19290301,0.010819,0.009240
19290302,-0.002674,-0.002032
19290304,-0.009513,-0.008770
